publish_date,headline_text
20030219,aba decides against community broadcasting licence
20030219,act fire witnesses must be aware of defamation
20030219,a g calls for infrastructure protection summit
20030219,air nz strike to affect iraqi travellers
20030219,antic delighted with record breaking barca
20030219,aussie qualifier stosur wastes four memphis match
20030219,aust addresses un security council over iraq
20030219,australia is locked into war timetable opp
20030219,australia to contribute 10 million in aid to iraq
20030219,barca take record as robson celebrates birthday in
20030219,bathhouse plans move ahead
20030219,big hopes for launceston cycling championship
20030219,big plan to boost paroo water supplies
20030219,brigadier dismisses reports troops harassed in
20030219,british combat troops arriving daily in kuwait
20030219,businesses should prepare for terrorist attacks
20030219,calleri avenges final defeat to eliminate massu
20030219,call for ethanol blend fuel to go ahead
20030407,iraqi greet marines with calls for saddams death
20030407,waterfall survivors tell of train speeding before
